Com N Year NB 	P 	Z 	D 	L10 	   L50  Slope Btype
2  20 1947 34  1220 11  .31250   8.530   46.60 1.11 1
2  21 1940 20  1370 11  .31250   6.770   18.90 1.85 1
2  22 1950 60  1415 11  .31250  13.500   46.50 1.53 1
2  23 1950 60  2243 11  .31250   2.320    8.06 1.51 1
2  24 1942 20   720 12  .31250  36.700  141.00 1.40 1
2  25 1946 55  1300 12  .31250  19.000   57.20 1.71 1
2  26 1947 30  1300 12  .31250  19.500   60.60 1.67 1
2  27 1944 20  1650 14  .34375  17.000   74.40 1.37 1
2  28 1946 59  1760 14  .34375  20.900   53.70 2.00 1
2  29 1947 34  1760 14  .34375   9.560   40.70 1.30 1
2  30 1940 20  2010 13  .40625   5.490   33.30 1.05 1
2  31 1940  9  2010 13  .40625   1.390   44.00  .54 1
2  32 1944 19  2140 13  .40625   9.800   82.70  .88 1
2  33 1943 11  2630 15  .40625   5.190   54.90  .80 1
2  34 1942 12  5900 14  .59375   6.360   17.50 1.86 1
2  35 1947 19  5900 14  .59375   3.680   22.10 1.05 1
2  36 1947 20  8070 14  .71875   8.340   23.60 1.81 1
2  37 1942 12  8075 14  .71875   6.780   36.40 1.12 1
2  38 1938 10   565  9  .21000   9.270   18.40 2.75 2
2  39 1940 23   720  8  .28125  18.200   56.90 1.66 2
2  40 1940 24   720  8  .28125  22.800   56.20 2.09 2
2  41 1940 25   720  8  .28125   3.990   15.60 1.38 2
2  42 1940 21   720  8  .28125   9.070   29.40 1.60 2
2  43 1940 25   720  8  .28125   7.140   28.50 1.36 2
2  44 1940 25   720  8  .28125  12.500   26.40 2.51 2
2  45 1941 25   720  8  .28125  18.800   48.70 1.98 2
2  46 1941 23   720  8  .28125  21.500   53.20 2.08 2
2  47 1947 33   860  8  .31250  17.100   59.00 1.52 2
2  48 1948  8   860  8  .31250  15.200   87.60 1.08 2
2  49 1943 20   900  9  .31250  30.100   92.30 1.68 2
2  50 1944 18   900  9  .31250  15.000   47.60 1.63 2
2  51 1945 27   940  9  .31250  17.500   52.80 1.71 2
2  52 1947 34   940  9  .31250  14.400   65.60 1.24 2
2  53 1938 10  1180  9  .31250   8.760   22.10 2.04 2
2  54 1945 30  1580  9  .37500  12.100   43.30 1.47 2
2  55 1947 33  1580  9  .37500  17.200   64.60 1.42 2
2  56 1948  8  1580  9  .37500  10.700   34.60 1.61 2
2  57 1945 31  2160  9  .43750  10.900   37.60 1.52 2
2  58 1947 30  2160  9  .43750  12.700   53.70 1.30 2
2  59 1938  9  2200  9  .43750   3.730   43.50  .77 2
2  60 1947 30  2480  9  .43750  16.600   78.30 1.21 2
2  61 1950 40  1340  9  .46875 180.000  275.00 4.44 2
2  62 1937 19  1660 10  .43750  85.200  234.00 1.86 2
2  63 1941 19  1700  9  .46875  57.100  230.00 1.35 2
2  64 1939 24  2480  9  .46875  15.700   55.80 1.48 2
2  65 1939 25  2480  9  .46875  27.100   97.80 1.47 2
2  66 1939 23  2480  9  .46875  21.700  122.00 1.09 2
2  67 1939 28  2480  9  .46875  13.200   42.30 1.62 2
2  68 1939 28  2480  9  .46875  35.800  145.00 1.35 2
2  69 1939 20  2480  9  .46875  12.700   34.70 1.87 2
2  70 1944 20  2480  9  .46875  10.100   27.80 1.87 2
2  71 1945 20  2480  9  .46875   8.830   34.30 1.39 2
2  72 1938 10  2480  9  .46875  16.500   60.30 1.45 2
2  73 1942 11  2480  9  .46875  17.900   65.80 1.45 2
2  74 1943 10  2480  9  .46875  15.700   63.10 1.35 2
2  75 1943 20  2480  9  .46875  10.800   42.10 1.38 2
2  76 1944 18  2480  9  .46875  14.200   39.90 1.83 2
2  77 1944 18  2480  9  .46875  19.000   67.80 1.48 2
2  78 1944 18  2480  9  .46875  16.300   57.70 1.49 2
2  79 1944 20  2480  9  .46875   2.930   18.00 1.04 2
2  80 1944 20  2480  9  .46875   5.690   25.40 1.26 2
2  81 1944 28  2480  9  .46875   9.540   39.90 1.32 2
2  82 1944 22  2480  9  .46875  12.600   55.70 1.27 2
2  83 1944 23  2480  9  .46875   5.100   37.50  .94 2
2  84 1944 18  2480  9  .46875  16.000   53.70 1.56 2
2  85 1944 20  2480  9  .46875   1.980   22.10  .78 2
2  86 1945 20  2480  9  .46875   5.650   28.80 1.16 2
2  87 1945 20  2480  9  .46875  12.800   43.60 1.58 2
2  88 1945 20  2480  9  .46875   9.840   32.30 1.59 2
2  89 1945 20  2480  9  .46875  12.100   43.00 1.48 2
2  90 1945 20  2480  9  .46875   5.480   40.80  .94 2
2  91 1945 20  2480  9  .46875   6.640   25.30 1.41 2
2  92 1945 32  2480  9  .46875  13.900   41.90 1.70 2
2  93 1946 35  2480  9  .46875   9.020   45.40 1.17 2
2  94 1946 34  2480  9  .46875  11.000   49.20 1.26 2
2  95 1947 31  2480  9  .46875  14.500   73.60 1.16 2
2  96 1944  9  2480  9  .46875   5.910   37.20 1.02 2
2  97 1944 10  2480  9  .46875  18.100   40.50 2.33 2
2  98 1945 10  2480  9  .46875  17.100   53.30 1.65 2
2  99 1945 10  2480  9  .46875  32.600   61.80 2.95 2
2 100 1945 10  2480  9  .46875  24.100   66.20 1.87 2
2 101 1945 20  2480  9  .46875  36.100   71.60 2.75 2
2 102 1946 20  2480  9  .46875  63.300  104.00 3.82 2
2 103 1946 12  2480  9  .46875  14.400   59.00 1.33 2
2 104 1946 11  2480  9  .46875  15.100   92.90 1.04 2
2 105 1945 10  2480  9  .46875  18.800   39.40 2.55 2
2 106 1950 12  2480  9  .46875   5.630   34.70 1.04 2
2 107 1950 12  2480  9  .46875   7.230   34.50 1.21 2
2 108 1951 30  2480  9  .46875  16.700   71.80 1.29 2
2 109 1951 63  2480  9  .46875  26.500   90.30 1.54 2
2 110 1950 23  2480  9  .46875   8.350   49.10 1.06 2
2 111 1943 19  3250  9  .46875   3.790    9.30 2.10 2
2 112 1937 10  3470 10  .43750   9.050   36.60 1.35 2
2 113 1944 20  4000  9  .46875   2.980    7.35 2.08 2
2 114 1943 19  2300 10  .46875  22.500   73.40 1.59 2
2 115 1938 10  2730 10  .46875   3.820   31.70  .89 2
2 116 1946 22  2660 10  .53125   6.550   20.80 1.63 2
2 117 1944 20  2250 11  .46875  17.500   64.30 1.45 2
2 118 1943 16  2300 11  .46875  61.700  152.00 2.10 2
2 119 1945 48  2840 11  .46875  18.600   42.70 2.27 2
2 120 1947 28  2840 11  .46875  21.600   66.30 1.68 2
2 121 1947  8  2840 11  .46875  11.900   39.10 1.59 2
2 122 1948  8  2840 11  .46875  13.900   50.60 1.46 2
2 123 1943 19  3200 11  .46875   7.800   33.10 1.30 2
2 124 1944 28  4000 11  .46875   3.550   13.90 1.38 2
2 125 1943 19  4000 11  .46875   9.400   23.40 2.06 2
2 126 1947 23  6350 11  .68750   4.760   22.70 1.21 2
2 127 1944 20 12000 11 1.06250   3.230    9.86 1.69 2
2 128 1944 20 12000 11 1.06250   2.620    9.52 1.46 2
2 129 1944  9 12700  8 1.50000   7.890   39.70 1.17 2
2 130 1949 18 16500 11 1.06250   4.930   20.40 1.33 2
2 131 1950 20 16500 11 1.06250   6.260   16.20 1.98 2
2 132 1938  8   565  7  .31250  37.300  103.00 1.85 3
2 133 1944 20   900  7  .31250  14.000   38.60 1.86 3
2 134 1938 10  1650  8  .40625  30.300   87.60 1.77 3
2 135 1944 20  2250  8  .46875  25.700   71.20 1.85 3
2 136 1943 20  2300  8  .46875  10.500   60.40 1.07 3
2 137 1944 19  3200  8  .46875  10.300   24.10 2.21 3
2 138 1944 19  4000  8  .46875   4.560   12.90 1.81 3
2 139 1937 10  1710  8  .53125  25.100  274.00  .79 3
2 140 1938  9  2360  8  .53125  48.800  264.00 1.12 3
2 141 1937 10  2680  8  .53125   7.530   60.70  .90 3
2 142 1937 11  3850  8  .53125  14.900   62.60 1.32 3
2 143 1947 21  7760  8  .90625   4.570   43.40  .84 3
2 144 1943 12  9550  8 1.06250   3.900   40.70  .80 3
2 145 1947 21  9750  8 1.06250  15.500   79.40 1.16 3
2 146 1948 16 11400  8 1.18750  10.200   43.90 1.29 3
2 147 1948 20 11400  8 1.18750   4.710   16.90 1.48 3
2 148 1947 18 11420  8 1.18750  10.100   34.20 1.55 3
3   1 1942 94  1580  7  .56250  16.900   64.80 1.40 0
3   2 1949 29   790  7  .56250 211.000  729.00 1.52 0
3   3 1949 35  1185  7  .56250  74.400  287.00 1.40 0
3   4 1940 29  1600  9  .50000   9.620   40.10 1.32 0
3   5 1945 10  1600  8  .46875  11.900   66.30 1.10 0
3   6 1943  9  2275  7  .53125  13.800   58.00 1.31 0
3   7 1946 13  2540  8  .46875   2.380   11.30 1.21 0
3   8 1946 12  2540  8  .46875   2.380   11.50 1.19 0
3   9 1949 12  1580  7  .56250   8.750   62.20  .96 0
3  10 1949 12  1580  7  .56250  25.700  113.00 1.27 0
3  11 1947 24  1600  9  .50000  14.500  113.00  .92 0
3  12 1949 12   610  8  .31250  26.800   65.60 2.10 0
